"Id","Name","CreatedDate","UpdatedDate"
88,Guam,"1900-01-01 00:00:00","1900-01-01 00:00:00"
89,Guinea-Bissau,"1900-01-01 00:00:00","1900-01-01 00:00:00"
90,Guyana,"1900-01-01 00:00:00","1900-01-01 00:00:00"
91,Gaza Strip,"1900-01-01 00:00:00","1900-01-01 00:00:00"
92,Hong Kong,"1900-01-01 00:00:00","1900-01-01 00:00:00"
93,Heard Island and McDonald Islands,"1900-01-01 00:00:00","1900-01-01 00:00:00"
94,Honduras,"1900-01-01 00:00:00","1900-01-01 00:00:00"
95,Croatia,"1900-01-01 00:00:00","1900-01-01 00:00:00"
96,Haiti,"1900-01-01 00:00:00","1900-01-01 00:00:00"
97,Hungary,"1900-01-01 00:00:00","1900-01-01 00:00:00"
98,Indonesia,"1900-01-01 00:00:00","1900-01-01 00:00:00"
99,Ireland,"1900-01-01 00:00:00","1900-01-01 00:00:00"
100,Israel,"1900-01-01 00:00:00","1900-01-01 00:00:00"
101,Isle of Man,"1900-01-01 00:00:00","1900-01-01 00:00:00"
102,India,"1900-01-01 00:00:00","1900-01-01 00:00:00"
103,British Indian Ocean Territory,"1900-01-01 00:00:00","1900-01-01 00:00:00"
104,Iraq,"1900-01-01 00:00:00","1900-01-01 00:00:00"
105,Iran,"1900-01-01 00:00:00","1900-01-01 00:00:00"
106,Iceland,"1900-01-01 00:00:00","1900-01-01 00:00:00"
107,Italy,"1900-01-01 00:00:00","1900-01-01 00:00:00"
108,Jersey,"1900-01-01 00:00:00","1900-01-01 00:00:00"
109,Jamaica,"1900-01-01 00:00:00","1900-01-01 00:00:00"
110,Jordan,"1900-01-01 00:00:00","1900-01-01 00:00:00"
111,Japan,"1900-01-01 00:00:00","1900-01-01 00:00:00"
112,Kenya,"1900-01-01 00:00:00","1900-01-01 00:00:00"
113,Kyrgyzstan,"1900-01-01 00:00:00","1900-01-01 00:00:00"
114,Cambodia,"1900-01-01 00:00:00","1900-01-01 00:00:00"
115,Kiribati,"1900-01-01 00:00:00","1900-01-01 00:00:00"
116,Comoros,"1900-01-01 00:00:00","1900-01-01 00:00:00"
117,Saint Kitts and Nevis,"1900-01-01 00:00:00","1900-01-01 00:00:00"
