"Id","ProgramSetupId","DegreeId","StudentId","LevelId","CreatedDate","UpdatedDate"
73,25,2,73,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
74,25,2,74,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
75,25,2,75,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
76,25,2,76,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
77,25,2,77,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
78,25,2,78,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
79,25,2,79,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
80,25,2,80,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
81,25,2,81,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
82,25,2,82,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
83,25,2,83,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
84,25,2,84,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
85,25,2,85,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
86,25,2,86,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
87,25,2,87,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
88,25,2,88,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
89,25,2,89,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
90,25,2,90,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
91,25,2,91,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
92,25,2,92,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
93,25,2,93,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
94,25,2,94,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
95,25,2,95,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
96,25,2,96,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
97,25,2,97,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
98,6,2,229,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
99,6,2,230,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
100,6,2,231,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
101,6,2,232,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
102,6,2,233,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
103,6,2,234,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
104,6,2,235,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
105,6,2,236,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
106,6,2,237,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
107,6,2,238,3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
108,8,2,239,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
109,14,2,240,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
110,14,2,241,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
111,14,2,242,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
112,14,2,243,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
113,14,2,244,4,"2024-04-20 00:00:00","2024-04-20 00:00:00"
