"Id","filename","filepath","ApplicationDocumentType","UserId","CurrentUserId","CreatedDate","UpdatedDate"
1,"19af76a4-c8e3-46d2-a402-5f0dd4c43c0c",/app/wwwroot/Applications/19af76a4-c8e3-46d2-a402-5f0dd4c43c0c,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 09:50:59.049511","2024-05-28 09:50:59.049512"
2,"19af76a4-c8e3-46d2-a402-5f0dd4c43c0c",/app/wwwroot/Applications/19af76a4-c8e3-46d2-a402-5f0dd4c43c0c,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 09:55:38.009188","2024-05-28 09:55:38.009189"
3,"102e266b-c73f-40e4-aaac-8fce1ba54937",/app/wwwroot/Applications/102e266b-c73f-40e4-aaac-8fce1ba54937,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 10:05:28.049891","2024-05-28 10:05:28.049892"
4,"102e266b-c73f-40e4-aaac-8fce1ba54937",/app/wwwroot/Applications/102e266b-c73f-40e4-aaac-8fce1ba54937,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 10:05:59.991047","2024-05-28 10:05:59.991048"
5,"102e266b-c73f-40e4-aaac-8fce1ba54937",/app/wwwroot/Applications/102e266b-c73f-40e4-aaac-8fce1ba54937,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 10:12:19.015431","2024-05-28 10:12:19.015432"
6,"109637c7-8f97-4fbd-9326-90b9110e4017",/app/wwwroot/Applications/109637c7-8f97-4fbd-9326-90b9110e4017,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 11:55:47.019007","2024-05-28 11:55:47.019008"
7,"109637c7-8f97-4fbd-9326-90b9110e4017",/app/wwwroot/Applications/109637c7-8f97-4fbd-9326-90b9110e4017,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 11:55:51.222848","2024-05-28 11:55:51.222849"
8,"109637c7-8f97-4fbd-9326-90b9110e4017",/app/wwwroot/Applications/109637c7-8f97-4fbd-9326-90b9110e4017,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 11:55:58.716294","2024-05-28 11:55:58.716295"
9,"109637c7-8f97-4fbd-9326-90b9110e4017",/app/wwwroot/Applications/109637c7-8f97-4fbd-9326-90b9110e4017,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 11:56:10.528259","2024-05-28 11:56:10.528260"
10,"109637c7-8f97-4fbd-9326-90b9110e4017",/app/wwwroot/Applications/109637c7-8f97-4fbd-9326-90b9110e4017,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 11:56:14.488762","2024-05-28 11:56:14.488763"
11,e767a635-f8e6-406a-a188-fcbc67cc6b8f,/app/wwwroot/Applications/e767a635-f8e6-406a-a188-fcbc67cc6b8f,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 12:01:14.566840","2024-05-28 12:01:14.566841"
12,e767a635-f8e6-406a-a188-fcbc67cc6b8f,/app/wwwroot/Applications/e767a635-f8e6-406a-a188-fcbc67cc6b8f,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 12:01:21.067258","2024-05-28 12:01:21.067259"
13,e767a635-f8e6-406a-a188-fcbc67cc6b8f,/app/wwwroot/Applications/e767a635-f8e6-406a-a188-fcbc67cc6b8f,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 12:01:42.942004","2024-05-28 12:01:42.942006"
14,e767a635-f8e6-406a-a188-fcbc67cc6b8f,/app/wwwroot/Applications/e767a635-f8e6-406a-a188-fcbc67cc6b8f,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 12:01:52.425074","2024-05-28 12:01:52.425075"
15,e767a635-f8e6-406a-a188-fcbc67cc6b8f,/app/wwwroot/Applications/e767a635-f8e6-406a-a188-fcbc67cc6b8f,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 12:01:56.639157","2024-05-28 12:01:56.639158"
16,e767a635-f8e6-406a-a188-fcbc67cc6b8f,/app/wwwroot/Applications/e767a635-f8e6-406a-a188-fcbc67cc6b8f,1,c6924a48-d3e0-4710-a76d-ca81f2328f86,,"2024-05-28 12:16:38.608855","2024-05-28 12:16:38.608856"
17,d6838243-79e3-4248-9235-5ebbf9a93d90,/app/wwwroot/Applications/d6838243-79e3-4248-9235-5ebbf9a93d90,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-29 11:47:03.766541","2024-05-29 11:47:03.766542"
18,"8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5",/app/wwwroot/Applications/8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-29 11:48:51.334265","2024-05-29 11:48:51.334266"
19,"8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5",/app/wwwroot/Applications/8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-29 11:50:00.635390","2024-05-29 11:50:00.635390"
20,"8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5",/app/wwwroot/Applications/8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-29 11:50:49.464105","2024-05-29 11:50:49.464106"
21,"8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5",/app/wwwroot/Applications/8d7d8676-2bb4-46dd-8fb7-adb6cff0b5a5,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-29 11:52:36.902246","2024-05-29 11:52:36.902247"
22,"5c3f4e37-e777-4add-86a0-8ccfbf494ee0.jpg",/app/wwwroot/Applications/5c3f4e37-e777-4add-86a0-8ccfbf494ee0.jpg,1,bdafbad5-8477-4965-907a-e7904cf7f788,,"2024-05-29 16:00:40.891576","2024-05-29 16:00:40.891577"
23,"5c3f4e37-e777-4add-86a0-8ccfbf494ee0.jpg",/app/wwwroot/Applications/5c3f4e37-e777-4add-86a0-8ccfbf494ee0.jpg,1,bdafbad5-8477-4965-907a-e7904cf7f788,,"2024-05-29 16:00:53.885325","2024-05-29 16:00:53.885327"
24,bdedea1b-8f50-4356-8371-e47ca2bdec0e.jfif,/app/wwwroot/Applications/bdedea1b-8f50-4356-8371-e47ca2bdec0e.jfif,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-30 00:15:56.192558","2024-05-30 00:15:56.192560"
25,bdedea1b-8f50-4356-8371-e47ca2bdec0e.jfif,/app/wwwroot/Applications/bdedea1b-8f50-4356-8371-e47ca2bdec0e.jfif,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-30 00:16:26.671350","2024-05-30 00:16:26.671351"
26,bdedea1b-8f50-4356-8371-e47ca2bdec0e.jfif,/app/wwwroot/Applications/bdedea1b-8f50-4356-8371-e47ca2bdec0e.jfif,1,"14692341-e48d-49f4-9482-45330420d95a",,"2024-05-30 00:17:04.141959","2024-05-30 00:17:04.141960"
