"Id","Name","TotalPayDue","PayInstalment1","PayInstalment2","PayInstalment3","PayInstalment4","StudentLevelId","SessionId","SemesterId","IsInstallmental","DepartmentId","DegreeId","CreatedDate","UpdatedDate"
1,Undergraduate,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
2,Postgraduate,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
3,JUPEB,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
4,PartTime,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
5,Sandwich,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
6,MBA,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
7,DBA,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
8,BTHBA,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,15000.000000000000000000000000000000,0.000000000000000000000000000000,10000,13,1,0,10000,10000,"2024-04-20 00:00:00","2024-04-20 00:00:00"
